date,store_id,item_id,qty_sold,price,discount_pct,on_promo,stockout_flag,stock_on_hand,lead_time_days,unit_cost,holding_cost_rate
2023-01-01,S1,P1,28,152,0,0,0,40,7,100,0.2
2023-01-02,S1,P1,28,137,0,0,0,94,7,100,0.2
2023-01-03,S1,P1,21,51,0,0,0,72,7,100,0.2
2023-01-04,S1,P1,23,87,0,0,0,49,7,100,0.2
2023-01-05,S1,P1,33,108,0,0,0,68,7,100,0.2
2023-01-06,S1,P1,33,64,0,0,0,79,7,100,0.2
2023-01-07,S1,P1,38,113,0,0,0,74,7,100,0.2
2023-01-08,S1,P1,30,184,0,0,0,70,7,100,0.2
2023-01-09,S1,P1,22,57,0,0,0,79,7,100,0.2
2023-01-10,S1,P1,30,130,0,0,0,97,7,100,0.2
2023-01-12,S1,P1,19,195,0,0,0,73,7,100,0.2
2023-01-13,S1,P1,40,89,17,1,0,97,7,100,0.2
2023-01-14,S1,P1,51,73,22,1,0,72,7,100,0.2
2023-01-15,S1,P1,24,64,0,0,0,60,7,100,0.2
2023-01-16,S1,P1,21,58,0,0,0,90,7,100,0.2
2023-01-17,S1,P1,22,130,0,0,0,30,7,100,0.2
2023-01-18,S1,P1,29,82,0,0,0,54,7,100,0.2
2023-01-19,S1,P1,29,184,0,0,0,47,7,100,0.2
2023-01-20,S1,P1,39,82,21,1,0,53,7,100,0.2
2023-01-21,S1,P1,30,153,0,0,0,63,7,100,0.2
2023-01-22,S1,P1,29,150,0,0,0,54,7,100,0.2
2023-01-23,S1,P1,21,186,0,0,0,46,7,100,0.2
2023-01-24,S1,P1,29,173,0,0,0,61,7,100,0.2
2023-01-25,S1,P1,18,192,0,0,0,42,7,100,0.2
2023-01-26,S1,P1,31,62,0,0,0,55,7,100,0.2
2023-01-27,S1,P1,24,94,0,0,0,85,7,100,0.2
2023-01-29,S1,P1,44,178,20,1,0,81,7,100,0.2
2023-01-30,S1,P1,28,170,0,0,0,81,7,100,0.2
2023-01-31,S1,P1,27,186,0,0,0,91,7,100,0.2
2023-02-01,S1,P1,27,108,0,0,0,70,7,100,0.2
2023-02-02,S1,P1,27,101,0,0,0,81,7,100,0.2
2023-02-03,S1,P1,15,179,0,0,0,58,7,100,0.2
2023-02-06,S1,P1,27,117,0,0,0,89,7,100,0.2
2023-02-07,S1,P1,35,172,0,0,0,75,7,100,0.2
2023-02-08,S1,P1,29,188,0,0,0,89,7,100,0.2
2023-02-09,S1,P1,35,173,25,1,0,92,7,100,0.2
2023-02-11,S1,P1,31,197,0,0,0,38,7,100,0.2
2023-02-12,S1,P1,25,131,0,0,0,58,7,100,0.2
2023-02-13,S1,P1,41,91,20,1,0,76,7,100,0.2
2023-02-14,S1,P1,43,162,29,1,0,79,7,100,0.2
2023-02-15,S1,P1,19,189,0,0,0,67,7,100,0.2
2023-02-16,S1,P1,31,97,0,0,0,38,7,100,0.2
2023-02-17,S1,P1,39,103,29,1,0,43,7,100,0.2
2023-02-18,S1,P1,34,153,0,0,0,91,7,100,0.2
2023-02-19,S1,P1,37,142,0,0,0,44,7,100,0.2
2023-02-20,S1,P1,21,117,0,0,0,54,7,100,0.2
2023-02-21,S1,P1,20,97,0,0,0,40,7,100,0.2
2023-02-22,S1,P1,42,164,26,1,0,52,7,100,0.2
2023-02-23,S1,P1,32,87,0,0,0,41,7,100,0.2
2023-02-24,S1,P1,38,79,11,1,0,40,7,100,0.2
2023-02-25,S1,P1,33,110,0,0,0,83,7,100,0.2
2023-02-27,S1,P1,38,73,12,1,0,56,7,100,0.2
2023-02-28,S1,P1,29,165,0,0,0,79,7,100,0.2
2023-03-01,S1,P1,16,116,0,0,0,51,7,100,0.2
2023-03-02,S1,P1,40,73,12,1,0,65,7,100,0.2
2023-03-03,S1,P1,19,135,0,0,0,66,7,100,0.2
2023-03-04,S1,P1,24,153,0,0,0,36,7,100,0.2
2023-03-05,S1,P1,27,88,0,0,0,62,7,100,0.2
2023-03-06,S1,P1,43,184,22,1,0,79,7,100,0.2
2023-03-07,S1,P1,22,69,0,0,0,64,7,100,0.2
2023-03-08,S1,P1,32,164,0,0,0,95,7,100,0.2
2023-03-09,S1,P1,30,81,0,0,0,85,7,100,0.2
2023-03-10,S1,P1,23,174,0,0,0,82,7,100,0.2
2023-03-11,S1,P1,47,119,26,1,0,71,7,100,0.2
2023-03-13,S1,P1,16,152,0,0,0,24,7,100,0.2
2023-03-14,S1,P1,37,193,0,0,0,71,7,100,0.2
2023-03-15,S1,P1,48,196,19,1,0,49,7,100,0.2
2023-03-16,S1,P1,22,139,0,0,0,74,7,100,0.2
2023-03-17,S1,P1,30,72,0,0,0,81,7,100,0.2
2023-03-19,S1,P1,27,138,0,0,0,67,7,100,0.2
2023-03-20,S1,P1,32,118,16,1,0,83,7,100,0.2
2023-03-21,S1,P1,30,125,0,0,0,86,7,100,0.2
2023-03-22,S1,P1,20,118,0,0,0,48,7,100,0.2
2023-03-23,S1,P1,27,193,0,0,0,81,7,100,0.2
2023-03-24,S1,P1,25,150,0,0,0,52,7,100,0.2
2023-03-25,S1,P1,26,118,0,0,0,29,7,100,0.2
2023-03-26,S1,P1,29,145,0,0,0,38,7,100,0.2
2023-03-28,S1,P1,26,133,0,0,0,51,7,100,0.2
2023-03-29,S1,P1,22,173,0,0,0,69,7,100,0.2
2023-03-30,S1,P1,40,114,21,1,0,86,7,100,0.2
2023-03-31,S1,P1,37,93,19,1,0,62,7,100,0.2
2023-04-01,S1,P1,26,130,0,0,0,54,7,100,0.2
2023-04-02,S1,P1,27,139,0,0,0,45,7,100,0.2
2023-04-03,S1,P1,19,163,0,0,0,77,7,100,0.2
2023-04-04,S1,P1,21,169,0,0,0,48,7,100,0.2
2023-04-06,S1,P1,29,148,0,0,0,83,7,100,0.2
2023-04-07,S1,P1,17,86,0,0,0,43,7,100,0.2
2023-04-08,S1,P1,25,62,0,0,0,74,7,100,0.2
2023-04-09,S1,P1,26,133,0,0,0,81,7,100,0.2
