date,store_id,item_id,qty_sold,price,discount_pct,on_promo,stockout_flag,stock_on_hand,lead_time_days,unit_cost,holding_cost_rate,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_14,rolling_std_7,day_of_week,month,holding_cost,annual_demand,eoq,order_quantity
2023-01-15,S1,P1,24,64,0,0,0,60,7,100,0.2,51.0,30.0,28.0,31.714285714285715,30.428571428571427,10.843035948083385,6,1,20.0,288,37.94733192202055,228
2023-01-16,S1,P1,21,58,0,0,0,90,7,100,0.2,24.0,22.0,28.0,30.857142857142858,30.142857142857142,11.231333720571977,0,1,20.0,252,35.4964786985977,162
2023-01-17,S1,P1,22,130,0,0,0,30,7,100,0.2,21.0,30.0,21.0,30.714285714285715,29.642857142857142,11.36829341801553,1,1,20.0,264,36.3318042491699,234
2023-01-18,S1,P1,29,82,0,0,0,54,7,100,0.2,22.0,30.0,23.0,29.571428571428573,29.714285714285715,11.84422704467093,2,1,20.0,348,41.71330722922842,294
2023-01-19,S1,P1,29,184,0,0,0,47,7,100,0.2,29.0,19.0,33.0,29.428571428571427,30.142857142857142,11.84422704467093,3,1,20.0,348,41.71330722922842,301
2023-01-20,S1,P1,39,82,21,1,0,53,7,100,0.2,29.0,40.0,33.0,30.857142857142858,29.857142857142858,10.945753688509704,4,1,20.0,468,48.373546489791295,415
2023-01-21,S1,P1,30,153,0,0,0,63,7,100,0.2,39.0,51.0,38.0,30.714285714285715,30.285714285714285,10.812250547631695,5,1,20.0,360,42.42640687119285,297
2023-01-22,S1,P1,29,150,0,0,0,54,7,100,0.2,30.0,24.0,30.0,27.714285714285715,29.714285714285715,6.156684327197707,6,1,20.0,348,41.71330722922842,294
2023-01-23,S1,P1,21,186,0,0,0,46,7,100,0.2,29.0,21.0,22.0,28.428571428571427,29.642857142857142,5.940177967511939,0,1,20.0,252,35.4964786985977,206
2023-01-24,S1,P1,29,173,0,0,0,61,7,100,0.2,21.0,22.0,30.0,28.428571428571427,29.571428571428573,5.940177967511939,1,1,20.0,348,41.71330722922842,287
2023-01-25,S1,P1,18,192,0,0,0,42,7,100,0.2,29.0,29.0,30.0,29.428571428571427,29.5,5.223572942509206,2,1,20.0,216,32.863353450309965,174
2023-01-26,S1,P1,31,62,0,0,0,55,7,100,0.2,18.0,29.0,19.0,27.857142857142858,28.642857142857142,6.792853387410706,3,1,20.0,372,43.12771730569565,317
2023-01-27,S1,P1,24,94,0,0,0,85,7,100,0.2,31.0,39.0,40.0,28.142857142857142,29.5,6.890296835129126,4,1,20.0,288,37.94733192202055,203
2023-01-28,S1,P1,29,77,0,0,1,25,7,100,0.2,24.0,30.0,51.0,26.0,28.357142857142858,5.03322295684716,5,1,20.0,348,41.71330722922842,323
